A,B,N,N'(0),R,N BIT TOTAL,N BITS PER WORD,N WORDS,GOLDEN_RESULT,MODULE_RESULT,PASSED
01FF87FEFC07C021,01FE87FF4005D01D,FE007800FFF83FDF,E1,10000000000000000,64,8,8,47CF79E16FE0563D,47CF79E16FE0563D,YES
F80007FFC3FFF9FF,FFE01FFFC0007FFE,FFF8000FFFE00001,FF,10000000000000000,64,8,8,9F265193A08B6D08,9F265193A08B6D08,YES
0FFFFFFFFFFFC020,0FF87C0001FFFE01,EFFFFFFFFFFFFFFF,01,10000000000000000,64,8,8,E20E0F483C978401,E20E0F483C978401,YES
FFFFFF0000000FF80000001FFFE00FFF,0000005000023DC11FFFFF7000010001,FFFFFF9FFFFE01FF0000001FFFFDFFFF,FFFE0001,100000000000000000000000000000000,128,32,4,F81FFC0DC51CF19DAFF85D8CB223C13A,F81FFC0DC51CF19DAFF85D8CB223C13A,YES
FFFFFE0000007F1FC0001FFFFC000007,000000001FFE2FFFFFFE0000007FF001,FFFFFFFFDFFFF0000001FFFFFF000FFF,00001001,100000000000000000000000000000000,128,32,4,CFAE3571231AB7A714A871C44FEFBB76,CFAE3571231AB7A714A871C44FEFBB76,YES
00000FFF07C03FEFC0007F8020001FFE,00000FFF3FA041FFBC013F8700401FFE,FFFFF000003FC0003FFF807FFFFFE001,FBFFDFFF,100000000000000000000000000000000,128,32,4,498560202DBE73C15A02B2460A38D27E,498560202DBE73C15A02B2460A38D27E,YES
00001F00000000077FFFFE0000001001,00001F0000000007FFFFFDF000001020,FFFFE0FFFFFFFFF8000001FFFFFFEFFF,00FFF001,100000000000000000000000000000000,128,32,4,03D00089C422F9D8437ACE781BBC5040,03D00089C422F9D8437ACE781BBC5040,YES
00FFE1FFF0027FFDFFFFFFB3DFBFF001,00FFFFFFF003F83DFFF7FFF03FFFF001,FF0000000FFC00020000000FC0000FFF,C1001001,100000000000000000000000000000000,128,32,4,35D4ADB48B33406DB6EBD2E05AC0DA9D,35D4ADB48B33406DB6EBD2E05AC0DA9D,YES
00003FFFF801FFFDFFFFFFFFFFF01001,000027FE00007FBE0000007FFFC01040,FFFFC00000000001FFFFFFFFFFFFEFFF,00FFF001,100000000000000000000000000000000,128,32,4,B2D3B7AFC1BD8EDE4D3A7BE067D9BF34,B2D3B7AFC1BD8EDE4D3A7BE067D9BF34,YES
FFFF003C01FFFFE007FFFFFFFFC0003F,000000000000000000000003FFFFE001,FFFFFFFFFFFFFFFFFFFFFFFBFFFFFFFF,00000001,100000000000000000000000000000000,128,32,4,21DF847C0185FEC0081F800B7835EF40,21DF847C0185FEC0081F800B7835EF40,YES
7FFFFFDFFE00010007F8000003D00001,7FFFFFFDFE000000080003FFFFEFC001,8000000001FFFFFFF8000000000FFFFF,00100001,100000000000000000000000000000000,128,32,4,2A25069A0D141963B5D75F2865AECC60,2A25069A0D141963B5D75F2865AECC60,YES
1FBFFFFFFFFFFC00007F080000000000,1FBFF80007FFFFFFC07F03FFF9FF0001,E03FFFFFFFFFFFFFFF80FFFFFFFFFFFF,00000001,100000000000000000000000000000000,128,32,4,70E7B7A6479767E825BF1265301F4B1A,70E7B7A6479767E825BF1265301F4B1A,YES
000000000FFFFFFF80FF007FFFFFBF24,FFF8000003FFFFFF00007FFF80000000,FFFFFFFFF00000007F00FF80000000FB,65FDF5CD,100000000000000000000000000000000,128,32,4,21780E235BD774B3B0C1EFAF5A8D9706,21780E235BD774B3B0C1EFAF5A8D9706,YES
FFFFFF0000000FF80000001FFFE00FFF,0000005000023DC11FFFFF7000010001,FFFFFF9FFFFE01FF0000001FFFFDFFFF,0001,100000000000000000000000000000000,128,16,8,F81FFC0DC51CF19DAFF85D8CB223C13A,F81FFC0DC51CF19DAFF85D8CB223C13A,YES
FFFFFE0000007F1FC0001FFFFC000007,000000001FFE2FFFFFFE0000007FF001,FFFFFFFFDFFFF0000001FFFFFF000FFF,1001,100000000000000000000000000000000,128,16,8,CFAE3571231AB7A714A871C44FEFBB76,CFAE3571231AB7A714A871C44FEFBB76,YES
00000FFF07C03FEFC0007F8020001FFE,00000FFF3FA041FFBC013F8700401FFE,FFFFF000003FC0003FFF807FFFFFE001,DFFF,100000000000000000000000000000000,128,16,8,498560202DBE73C15A02B2460A38D27E,498560202DBE73C15A02B2460A38D27E,YES
00001F00000000077FFFFE0000001001,00001F0000000007FFFFFDF000001020,FFFFE0FFFFFFFFF8000001FFFFFFEFFF,F001,100000000000000000000000000000000,128,16,8,03D00089C422F9D8437ACE781BBC5040,03D00089C422F9D8437ACE781BBC5040,YES
00FFE1FFF0027FFDFFFFFFB3DFBFF001,00FFFFFFF003F83DFFF7FFF03FFFF001,FF0000000FFC00020000000FC0000FFF,1001,100000000000000000000000000000000,128,16,8,35D4ADB48B33406DB6EBD2E05AC0DA9D,35D4ADB48B33406DB6EBD2E05AC0DA9D,YES
00003FFFF801FFFDFFFFFFFFFFF01001,000027FE00007FBE0000007FFFC01040,FFFFC00000000001FFFFFFFFFFFFEFFF,F001,100000000000000000000000000000000,128,16,8,B2D3B7AFC1BD8EDE4D3A7BE067D9BF34,B2D3B7AFC1BD8EDE4D3A7BE067D9BF34,YES
FFFF003C01FFFFE007FFFFFFFFC0003F,000000000000000000000003FFFFE001,FFFFFFFFFFFFFFFFFFFFFFFBFFFFFFFF,0001,100000000000000000000000000000000,128,16,8,21DF847C0185FEC0081F800B7835EF40,21DF847C0185FEC0081F800B7835EF40,YES
7FFFFFDFFE00010007F8000003D00001,7FFFFFFDFE000000080003FFFFEFC001,8000000001FFFFFFF8000000000FFFFF,0001,100000000000000000000000000000000,128,16,8,2A25069A0D141963B5D75F2865AECC60,2A25069A0D141963B5D75F2865AECC60,YES
1FBFFFFFFFFFFC00007F080000000000,1FBFF80007FFFFFFC07F03FFF9FF0001,E03FFFFFFFFFFFFFFF80FFFFFFFFFFFF,0001,100000000000000000000000000000000,128,16,8,70E7B7A6479767E825BF1265301F4B1A,70E7B7A6479767E825BF1265301F4B1A,YES
000000000FFFFFFF80FF007FFFFFBF24,FFF8000003FFFFFF00007FFF80000000,FFFFFFFFF00000007F00FF80000000FB,F5CD,100000000000000000000000000000000,128,16,8,21780E235BD774B3B0C1EFAF5A8D9706,21780E235BD774B3B0C1EFAF5A8D9706,YES
E41BE5BDE54EA01C5FD8132DAE3C50BD9F96C5AF1324A68D08D978048F69BF76,F9852CD21DE6A57F70BA175BEA2FFFC2A40A26A7D424CF6F3CC8843F9135D1ED,B6FB5F6DA48F54FC63AF7B4B3E9C3631CD781A526FB464A66BB3E127E74E2C25,5A6EB41C91A1F053,10000000000000000000000000000000000000000000000000000000000000000,256,64,4,412093EAF12D0D4733BE5966AA7AD29C9172B3877641ECDA4A75AFB9BB90BA87,412093EAF12D0D4733BE5966AA7AD29C9172B3877641ECDA4A75AFB9BB90BA87,YES
A9BF5DFF81EF3871F8206ECDD8B673CFB0B6737D5A983628BABDCA532E76F1EF,C893CD7B64513B7A2652D8E4865DC4D07AF5BB3BD1EF10AA28197D81E622029F,BAA9614C0AFF9D805F10AB09561F9BB9879BCF08BD25AA6955DB00B696AC2173,7629B630338A1445,10000000000000000000000000000000000000000000000000000000000000000,256,64,4,3389330A008175AEF80264F09B38B8F29DAE79564599E0C2F3B0DE7974A3A5CD,3389330A008175AEF80264F09B38B8F29DAE79564599E0C2F3B0DE7974A3A5CD,YES
B071FCF379E962002C54D59662641609F870DDFB50601D5E2DA14F6DE24DA602,FA5CDCB31E308C75DDFB1F57812E4C1CF20DC45CABEF6B25EA9B707E6E0BC147,A8C219A6B9410BEFD065464C689949DD21BED322A0851311B10B84F1BA87ECCD,5DA81A5083461FFB,10000000000000000000000000000000000000000000000000000000000000000,256,64,4,487448233B556C30A1820EF6BB44893DD67CD631ADF7AF48C86C667306F04CB2,487448233B556C30A1820EF6BB44893DD67CD631ADF7AF48C86C667306F04CB2,YES
ADB09A026DD44879F2105D553469FCAA036F4CF64450F1D7F36BE42497926400,80B2A5AD7645210135D2908799F573EAB3A2DBE497F669CCC907F65B47E8C205,BE0887BAD260F54A528FB17779E03A7C7BEA418F3FB4CED2A5CC8F841C7E28A5,3EC6C32FF04A80D3,10000000000000000000000000000000000000000000000000000000000000000,256,64,4,349A9B139D4796E8D9077D162D175FCBB5F5721A17A35410625487EEE5146778,349A9B139D4796E8D9077D162D175FCBB5F5721A17A35410625487EEE5146778,YES
F8F89A1014078FE4C1C403074DD57D2E2AF0EA5FF74467D58F3FF278749CD6E6,AE435F91AAD89BF845FBA8B69CC0DA52D6C5776714D63F6D3823F98B1712C2CC,880D640184375378E15E975B2B7550A974DCCAB541A5ADDD9CE5FF01128A7005,5C5E4D20F69F2333,10000000000000000000000000000000000000000000000000000000000000000,256,64,4,5E002A4B652C9B3CF0CBBB062FECBB9679E3C25ADA22092D5461B760EB7ED05B,5E002A4B652C9B3CF0CBBB062FECBB9679E3C25ADA22092D5461B760EB7ED05B,YES
0000005007FFFFFFE0021DF1003FFFFFFFFFFFDFFFC200000000000003EFFFF1,00000060000000000001FE00FFFFFFFFFFFFFBE00001FFFFFFFFFFFFFFF00001,FFFFFF9FFFFFFFFFFFFE01FF000000000000001FFFFE000000000000000FFFFF,1000010000100001,10000000000000000000000000000000000000000000000000000000000000000,256,64,4,1C000205881B57FF9581DA40E007FDFC7FE4BFE3D7924D5E80D7E84B83F0BFF0,1C000205881B57FF9581DA40E007FDFC7FE4BFE3D7924D5E80D7E84B83F0BFF0,YES
FFFFF800000001FFFFFFFFFE03FFFFFFFFFFFFFFFFFFFE000000000000000000,FFFFFFFFFF800000000000000001FFFFFFFFFFE000000007FFFFFFFFFFFFFFFF,FFFFFFFFFFFFFE0000000000000003FFFFC00000000000007FFFFFBFFFFFFFFF,7FFFFFC000000001,10000000000000000000000000000000000000000000000000000000000000000,256,64,4,30045FF318A7F9A46F33D9CCB035ECCFFB5147326730B7EA27DFC32F0ABB067D,30045FF318A7F9A46F33D9CCB035ECCFFB5147326730B7EA27DFC32F0ABB067D,YES
FFFFF000003FC0003FFF80000000007FFFFFFFFFFFFFE00000000001FFFFF000,FFFFFFFFFFFF80000000000000000000000000000000FFFFFFFFF8000000007F,FFFFFFFFFFFFFFFFFFFFFFFFFFFE00000000000000001FFFFFFFFFFFFF7FFFFF,00003FFFFF800001,10000000000000000000000000000000000000000000000000000000000000000,256,64,4,7808C4BB82AC294ADF6CB3E73C55CD09ECB0247D2058F024280934DBB4AEE2B2,7808C4BB82AC294ADF6CB3E73C55CD09ECB0247D2058F024280934DBB4AEE2B2,YES
FFFE0000000000000007FFFFFFFFFFFFFF0000000000000003FFFFFFFFFFFFFF,000000003FFFFFFBFFE002000000007FFC00BE000000000807BFFFFF00000001,FFFFFFFFC0000000001FFE000000000003FF3FFFFFFFFFF800000000FFFFFFFF,0000000100000001,10000000000000000000000000000000000000000000000000000000000000000,256,64,4,025E102B9C112D0DEA0638FE895A329AE4676C9CF89A59C4FB22AA84895CB413,025E102B9C112D0DEA0638FE895A329AE4676C9CF89A59C4FB22AA84895CB413,YES
00000000000000FFFFFF000000007FC000000000000000001FFC000000000001,FFFFFF80000000000000000000000000000FFFFFFFFFFFFFFFFFFFFFFFFFFFFE,FFFFFFFFFFFFFF00000000000000003FFFFFFFFFFFFFFFFFDFFFFFFFFFFFFFFF,E000000000000001,10000000000000000000000000000000000000000000000000000000000000000,256,64,4,F77FBB8800002008824517C0005F7FFBDD9E420001080000829BF86F01BFFC06,F77FBB8800002008824517C0005F7FFBDD9E420001080000829BF86F01BFFC06,YES
FFFFFFFFC0000000000001FFFFFFFFFFFFFFFFF0000000000000000000000000,FFFFFFFFFE0000007FFFFE7FFFFFFFFFFFFF00000000000000000FFFFFFFFFFE,FFFFFFFFFFFFFC000007FFFFFFFFF80000000000003FFFFFFFFEFFFFFFFFFFFF,FFFF000000000001,10000000000000000000000000000000000000000000000000000000000000000,256,64,4,FFDDEFC04230002210C0F95E9DE29DBD11993CEEE3FC2E3410409C1B1F818FCD,FFDDEFC04230002210C0F95E9DE29DBD11993CEEE3FC2E3410409C1B1F818FCD,YES
FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF0003F,FFFFFFFFFFFFFFFFFFE7FFFFFFFFFFFFFFFFFFFF80000007FFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFEFF,FF00FF00FF00FF01,10000000000000000000000000000000000000000000000000000000000000000,256,64,4,B34CB34CB34CB34E31B04FB04FB04FB04FB057A7B84738D12ED12ED12EC13F4C,B34CB34CB34CB34E31B04FB04FB04FB04FB057A7B84738D12ED12ED12EC13F4C,YES
FFFF8000000000000000001FFFFFFFFFFFFFFFFFFFFFFFE00000000000000000,0000000007FC0000001FFFFFFFFFFFFC7E00000000008000000000FFFFE1FC01,FFFFFFFFF8000000000000000000000000FFFFFFFFFFFFFFFFFFFEFFFFFFFFFF,FFFFFF0000000001,10000000000000000000000000000000000000000000000000000000000000000,256,64,4,7A4E8FD3C4A987F38E5B83CCFE8E03DAB97C8F8FF9857FE0300E3B9951D2184F,7A4E8FD3C4A987F38E5B83CCFE8E03DAB97C8F8FF9857FE0300E3B9951D2184F,YES
FFFFFFFE00000000000003FFFFFFC000000000000000FFFFFFFFFC0000000000,FFE0000000000000000007FFFFFFFFFFFFFFFFFFDFFFC0000000000000000000,FFFFFFFFFFFFFFE000000000000000FFFFFFFFFFFFF8000003DFFFFFFFFFFFFF,03E0000000000001,10000000000000000000000000000000000000000000000000000000000000000,256,64,4,0E6416860B27F8201F80FAFDE300AF58849E8812C8203DAF69D864580F1B4245,0E6416860B27F8201F80FAFDE300AF58849E8812C8203DAF69D864580F1B4245,YES
000000000000FFFFFFFFEFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF8000001,FFFFFFFFFF800000000000000000007FF00FFFFFFFE000000000000000000000,FFFFFFFFFFFF0000000000000000000000000000000000000000000007FFFFFF,0040000008000001,10000000000000000000000000000000000000000000000000000000000000000,256,64,4,FFFFFFFFFF7FFFFFFFFFF00000000087F00FFFFFFFDFFFFFFFF800FF00000002,FFFFFFFFFF7FFFFFFFFFF00000000087F00FFFFFFFDFFFFFFFF800FF00000002,YES
E41BE5BDE54EA01C5FD8132DAE3C50BD9F96C5AF1324A68D08D978048F69BF76,F9852CD21DE6A57F70BA175BEA2FFFC2A40A26A7D424CF6F3CC8843F9135D1ED,B6FB5F6DA48F54FC63AF7B4B3E9C3631CD781A526FB464A66BB3E127E74E2C25,91A1F053,10000000000000000000000000000000000000000000000000000000000000000,256,32,8,412093EAF12D0D4733BE5966AA7AD29C9172B3877641ECDA4A75AFB9BB90BA87,412093EAF12D0D4733BE5966AA7AD29C9172B3877641ECDA4A75AFB9BB90BA87,YES
A9BF5DFF81EF3871F8206ECDD8B673CFB0B6737D5A983628BABDCA532E76F1EF,C893CD7B64513B7A2652D8E4865DC4D07AF5BB3BD1EF10AA28197D81E622029F,BAA9614C0AFF9D805F10AB09561F9BB9879BCF08BD25AA6955DB00B696AC2173,338A1445,10000000000000000000000000000000000000000000000000000000000000000,256,32,8,3389330A008175AEF80264F09B38B8F29DAE79564599E0C2F3B0DE7974A3A5CD,3389330A008175AEF80264F09B38B8F29DAE79564599E0C2F3B0DE7974A3A5CD,YES
B071FCF379E962002C54D59662641609F870DDFB50601D5E2DA14F6DE24DA602,FA5CDCB31E308C75DDFB1F57812E4C1CF20DC45CABEF6B25EA9B707E6E0BC147,A8C219A6B9410BEFD065464C689949DD21BED322A0851311B10B84F1BA87ECCD,83461FFB,10000000000000000000000000000000000000000000000000000000000000000,256,32,8,487448233B556C30A1820EF6BB44893DD67CD631ADF7AF48C86C667306F04CB2,487448233B556C30A1820EF6BB44893DD67CD631ADF7AF48C86C667306F04CB2,YES
ADB09A026DD44879F2105D553469FCAA036F4CF64450F1D7F36BE42497926400,80B2A5AD7645210135D2908799F573EAB3A2DBE497F669CCC907F65B47E8C205,BE0887BAD260F54A528FB17779E03A7C7BEA418F3FB4CED2A5CC8F841C7E28A5,F04A80D3,10000000000000000000000000000000000000000000000000000000000000000,256,32,8,349A9B139D4796E8D9077D162D175FCBB5F5721A17A35410625487EEE5146778,349A9B139D4796E8D9077D162D175FCBB5F5721A17A35410625487EEE5146778,YES
F8F89A1014078FE4C1C403074DD57D2E2AF0EA5FF74467D58F3FF278749CD6E6,AE435F91AAD89BF845FBA8B69CC0DA52D6C5776714D63F6D3823F98B1712C2CC,880D640184375378E15E975B2B7550A974DCCAB541A5ADDD9CE5FF01128A7005,F69F2333,10000000000000000000000000000000000000000000000000000000000000000,256,32,8,5E002A4B652C9B3CF0CBBB062FECBB9679E3C25ADA22092D5461B760EB7ED05B,5E002A4B652C9B3CF0CBBB062FECBB9679E3C25ADA22092D5461B760EB7ED05B,YES
0000005007FFFFFFE0021DF1003FFFFFFFFFFFDFFFC200000000000003EFFFF1,00000060000000000001FE00FFFFFFFFFFFFFBE00001FFFFFFFFFFFFFFF00001,FFFFFF9FFFFFFFFFFFFE01FF000000000000001FFFFE000000000000000FFFFF,00100001,10000000000000000000000000000000000000000000000000000000000000000,256,32,8,1C000205881B57FF9581DA40E007FDFC7FE4BFE3D7924D5E80D7E84B83F0BFF0,1C000205881B57FF9581DA40E007FDFC7FE4BFE3D7924D5E80D7E84B83F0BFF0,YES
FFFFF800000001FFFFFFFFFE03FFFFFFFFFFFFFFFFFFFE000000000000000000,FFFFFFFFFF800000000000000001FFFFFFFFFFE000000007FFFFFFFFFFFFFFFF,FFFFFFFFFFFFFE0000000000000003FFFFC00000000000007FFFFFBFFFFFFFFF,00000001,10000000000000000000000000000000000000000000000000000000000000000,256,32,8,30045FF318A7F9A46F33D9CCB035ECCFFB5147326730B7EA27DFC32F0ABB067D,30045FF318A7F9A46F33D9CCB035ECCFFB5147326730B7EA27DFC32F0ABB067D,YES
FFFFF000003FC0003FFF80000000007FFFFFFFFFFFFFE00000000001FFFFF000,FFFFFFFFFFFF80000000000000000000000000000000FFFFFFFFF8000000007F,FFFFFFFFFFFFFFFFFFFFFFFFFFFE00000000000000001FFFFFFFFFFFFF7FFFFF,FF800001,10000000000000000000000000000000000000000000000000000000000000000,256,32,8,7808C4BB82AC294ADF6CB3E73C55CD09ECB0247D2058F024280934DBB4AEE2B2,7808C4BB82AC294ADF6CB3E73C55CD09ECB0247D2058F024280934DBB4AEE2B2,YES
FFFE0000000000000007FFFFFFFFFFFFFF0000000000000003FFFFFFFFFFFFFF,000000003FFFFFFBFFE002000000007FFC00BE000000000807BFFFFF00000001,FFFFFFFFC0000000001FFE000000000003FF3FFFFFFFFFF800000000FFFFFFFF,00000001,10000000000000000000000000000000000000000000000000000000000000000,256,32,8,025E102B9C112D0DEA0638FE895A329AE4676C9CF89A59C4FB22AA84895CB413,025E102B9C112D0DEA0638FE895A329AE4676C9CF89A59C4FB22AA84895CB413,YES
00000000000000FFFFFF000000007FC000000000000000001FFC000000000001,FFFFFF80000000000000000000000000000FFFFFFFFFFFFFFFFFFFFFFFFFFFFE,FFFFFFFFFFFFFF00000000000000003FFFFFFFFFFFFFFFFFDFFFFFFFFFFFFFFF,00000001,10000000000000000000000000000000000000000000000000000000000000000,256,32,8,F77FBB8800002008824517C0005F7FFBDD9E420001080000829BF86F01BFFC06,F77FBB8800002008824517C0005F7FFBDD9E420001080000829BF86F01BFFC06,YES
FFFFFFFFC0000000000001FFFFFFFFFFFFFFFFF0000000000000000000000000,FFFFFFFFFE0000007FFFFE7FFFFFFFFFFFFF00000000000000000FFFFFFFFFFE,FFFFFFFFFFFFFC000007FFFFFFFFF80000000000003FFFFFFFFEFFFFFFFFFFFF,00000001,10000000000000000000000000000000000000000000000000000000000000000,256,32,8,FFDDEFC04230002210C0F95E9DE29DBD11993CEEE3FC2E3410409C1B1F818FCD,FFDDEFC04230002210C0F95E9DE29DBD11993CEEE3FC2E3410409C1B1F818FCD,YES
FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF0003F,FFFFFFFFFFFFFFFFFFE7FFFFFFFFFFFFFFFFFFFF80000007FFFFFFFFFFFFFFFF,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFEFF,FF00FF01,10000000000000000000000000000000000000000000000000000000000000000,256,32,8,B34CB34CB34CB34E31B04FB04FB04FB04FB057A7B84738D12ED12ED12EC13F4C,B34CB34CB34CB34E31B04FB04FB04FB04FB057A7B84738D12ED12ED12EC13F4C,YES
FFFF8000000000000000001FFFFFFFFFFFFFFFFFFFFFFFE00000000000000000,0000000007FC0000001FFFFFFFFFFFFC7E00000000008000000000FFFFE1FC01,FFFFFFFFF8000000000000000000000000FFFFFFFFFFFFFFFFFFFEFFFFFFFFFF,00000001,10000000000000000000000000000000000000000000000000000000000000000,256,32,8,7A4E8FD3C4A987F38E5B83CCFE8E03DAB97C8F8FF9857FE0300E3B9951D2184F,7A4E8FD3C4A987F38E5B83CCFE8E03DAB97C8F8FF9857FE0300E3B9951D2184F,YES
FFFFFFFE00000000000003FFFFFFC000000000000000FFFFFFFFFC0000000000,FFE0000000000000000007FFFFFFFFFFFFFFFFFFDFFFC0000000000000000000,FFFFFFFFFFFFFFE000000000000000FFFFFFFFFFFFF8000003DFFFFFFFFFFFFF,00000001,10000000000000000000000000000000000000000000000000000000000000000,256,32,8,0E6416860B27F8201F80FAFDE300AF58849E8812C8203DAF69D864580F1B4245,0E6416860B27F8201F80FAFDE300AF58849E8812C8203DAF69D864580F1B4245,YES
000000000000FFFFFFFFEFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF8000001,FFFFFFFFFF800000000000000000007FF00FFFFFFFE000000000000000000000,FFFFFFFFFFFF0000000000000000000000000000000000000000000007FFFFFF,08000001,10000000000000000000000000000000000000000000000000000000000000000,256,32,8,FFFFFFFFFF7FFFFFFFFFF00000000087F00FFFFFFFDFFFFFFFF800FF00000002,FFFFFFFFFF7FFFFFFFFFF00000000087F00FFFFFFFDFFFFFFFF800FF00000002,YES
919425CEBF5038FD6692568FC18014529D527F6E2EAE2CA7ADC83A73E4398416BA139CBD0F1B1A7171F60E7B6BBD086461460D8D3EEBC517C5CA407D38EC7B31,86C345F271827B60C4DF90E44EF9E8AFCE5B6364EFB558AEE9FF7AAED0538A214B5CFB536CC005243CF7838B5AC5B7CAC8F49ECDBC137F2635F71CE640A303BC,C2B4F82EE693407AA871D788F2D874298CEFB19C4A396E671B6E9BEEF6AC89747F6DE818D6D7D6E19A71940F6B5084B573FB0F65712F41DA7A73891399729741,A6F10402402628DA2B179A95CA2A073F,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,512,128,4,27A977D7874A1B7AF9F51BE9986184B323E42EC47B8F00CAC4AF836D27CFB309DD68289EBB5D8EE5B20AD3CE65ED2928AFC0CF06FC4F8CF80948B8C96F2E983A,27A977D7874A1B7AF9F51BE9986184B323E42EC47B8F00CAC4AF836D27CFB309DD68289EBB5D8EE5B20AD3CE65ED2928AFC0CF06FC4F8CF80948B8C96F2E983A,YES
D62097CEBD3DCE1096E056E7B418A257F16E31457E667A54DCA66BDF6B533F32EF79C4E864566A7C2E06B58670F4A0A139F3BCA33081C61B48A46FAEBA2D9077,0A9B46F130A25CE8DC3E8A76AC00318B2BD864D7DD1EEC4A8EA93B5114E55E230F32CDF1C37A78C340499C8385E39ABD767F2FBEBBF717092BA80711BF6DBDFE,B73AE3E1BB5C756C2A550DC96A54905797040A8C93816C9271AD0C1D3115F219406D5C1013623046ECD13E7C410375409DC360DE2D9271A685617CC0121D8EC7,A2867A1E405CD7E877272BF6A53B2D09,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,512,128,4,0C812DE60F51F8641D98C0E898A15D9DEAACA7478619A7DAE91BB4181D81A48E4045E0CF07592B7F915929D6C0199A7528EF5822BAC572EEC52C0EBBF51DF56A,0C812DE60F51F8641D98C0E898A15D9DEAACA7478619A7DAE91BB4181D81A48E4045E0CF07592B7F915929D6C0199A7528EF5822BAC572EEC52C0EBBF51DF56A,YES
